"Author - Rishav Goyal (Climate Change Research Centre, University of New South Wales, Sydney, Australia)",,,,
"Contact - rishav.goyal@unsw.edu.au, rishav.goyal@outlook.com",,,,
,,,,
Date,PC1 (normalized),PC2 (normalized),ZW3 index (magnitude) - normalized,ZW3 index (phase) - degrees
1/1/1979,0.401135,-0.162066,0.432637,-21.999615
1/2/1979,0.060289,-0.798885,0.801156,-85.684283
1/3/1979,0.54124,1.532924,1.625668,70.55307
1/4/1979,1.323666,0.584696,1.447053,23.83221
1/5/1979,-0.756021,0.77387,1.08187,134.331587
1/6/1979,-0.506374,2.252825,2.309034,102.667997
1/7/1979,1.334167,0.484707,1.419487,19.966231
1/8/1979,0.571906,-1.303755,1.423676,-66.314838
1/9/1979,0.584734,-1.520034,1.628624,-68.959021
1/10/1979,-0.27185,-0.501309,0.570275,-118.470108
1/11/1979,0.557662,0.677056,0.877149,50.523199
1/12/1979,0.588774,-0.174992,0.614229,-16.552689
1/1/1980,0.376964,0.453255,0.589527,50.250348
1/2/1980,1.085846,-0.44139,1.172129,-22.121453
1/3/1980,-0.54693,-0.634892,0.837985,-130.743365
1/4/1980,-1.340373,0.758983,1.540343,150.479392
1/5/1980,-0.059938,0.598874,0.601866,95.715383
1/6/1980,0.021798,-0.217792,0.21888,-84.284567
1/7/1980,-2.205192,1.245972,2.532848,150.532795
1/8/1980,-0.260258,1.019344,1.052043,104.322701
1/9/1980,0.198754,-0.386683,0.434773,-62.796942
1/10/1980,0.586388,0.482668,0.759487,39.458498
1/11/1980,-1.053713,-1.830265,2.111914,-119.929719
1/12/1980,0.108172,0.298335,0.317341,70.070185
1/1/1981,-1.041135,-0.226613,1.065512,-167.720542
1/2/1981,-0.578027,-0.501276,0.765109,-139.067561
1/3/1981,0.063819,1.997663,1.998682,88.170213
1/4/1981,0.653628,0.791479,1.026483,50.449042
1/5/1981,0.083408,-0.71688,0.721716,-83.36357
1/6/1981,0.847368,1.514174,1.735153,60.76757
1/7/1981,1.6933,0.83322,1.887199,26.20035
1/8/1981,-0.483849,-0.051339,0.486565,-173.943252
1/9/1981,-1.304124,-0.664122,1.463489,-153.012646
1/10/1981,-0.222113,1.306648,1.325391,99.647335
1/11/1981,0.690231,-0.539314,0.875945,-38.002397
1/12/1981,0.247778,0.686359,0.729714,70.150274
1/1/1982,-0.231706,-0.339842,0.411315,-124.286413
1/2/1982,0.510079,-0.010643,0.51019,-1.195359
1/3/1982,0.569174,-1.081672,1.222283,-62.246722
1/4/1982,1.495874,-0.049994,1.496709,-1.91417
1/5/1982,1.433919,-0.135859,1.44034,-5.412415
1/6/1982,0.540672,1.697991,1.781994,72.337564
1/7/1982,-1.818178,0.137006,1.823333,175.690699
1/8/1982,-0.899842,-0.099918,0.905372,-173.663855
1/9/1982,0.151191,0.518773,0.540356,73.751788
1/10/1982,-1.482872,-0.605602,1.601769,-157.784991
1/11/1982,-0.712335,-0.34461,0.791314,-154.18342
1/12/1982,-0.015291,-0.817141,0.817284,-91.072023
1/1/1983,0.485885,-1.529234,1.604569,-72.373336
1/2/1983,-1.365732,-0.821681,1.593858,-148.967144
1/3/1983,-1.070845,-0.967716,1.443324,-137.896051
1/4/1983,0.029795,0.966006,0.966465,88.233337
1/5/1983,-0.366105,0.416122,0.554248,131.341397
1/6/1983,-0.686291,-0.019505,0.686568,-178.372007
1/7/1983,0.695981,-1.260815,1.440154,-61.100907
1/8/1983,-0.225979,0.255488,0.341087,131.492823
1/9/1983,0.241083,-0.537872,0.58943,-65.857344
1/10/1983,0.422835,0.331169,0.537087,38.068458
1/11/1983,1.707208,-0.24605,1.724847,-8.20123
1/12/1983,0.496906,-0.019976,0.497307,-2.302122
1/1/1984,-0.572052,0.043786,0.573726,175.623033
1/2/1984,0.147799,-0.530149,0.550366,-74.422138
1/3/1984,0.711675,2.749503,2.840115,75.488178
1/4/1984,-0.439737,-1.176209,1.255722,-110.498742
1/5/1984,-2.132351,-0.092514,2.134356,-177.515736
1/6/1984,-1.231593,1.549899,1.979648,128.471624
1/7/1984,-0.112375,0.246935,0.271303,114.46937
1/8/1984,0.138093,0.261115,0.295382,62.127528
1/9/1984,2.040614,-0.566049,2.117668,-15.503554
1/10/1984,-0.533196,-0.103918,0.543228,-168.971513
1/11/1984,-0.831027,1.232876,1.486805,123.982171
1/12/1984,0.769591,1.432756,1.626364,61.757956
1/1/1985,0.757836,0.035006,0.758644,2.644764
1/2/1985,0.562185,-0.05466,0.564836,-5.553307
1/3/1985,-1.718992,0.576874,1.813206,161.448824
1/4/1985,-0.27093,0.383409,0.469473,125.246374
1/5/1985,0.202317,0.635983,0.667388,72.353242
1/6/1985,1.002022,1.794418,2.055233,60.820549
1/7/1985,0.588376,-0.388317,0.704966,-33.42404
1/8/1985,-0.082582,0.740355,0.744947,96.364657
1/9/1985,0.815948,-0.322709,0.877446,-21.578887
1/10/1985,0.239628,0.886867,0.91867,74.879973
1/11/1985,-0.440432,2.124364,2.169539,101.712865
1/12/1985,-0.547433,0.86733,1.025644,122.258887
1/1/1986,-0.001682,0.001267,0.002106,143.016296
1/2/1986,0.511905,0.546165,0.748561,46.854576
1/3/1986,0.447658,-0.01598,0.447943,-2.044404
1/4/1986,0.305665,-0.848103,0.901505,-70.180299
1/5/1986,-1.722066,-0.881644,1.934633,-152.888977
1/6/1986,1.076316,-3.745174,3.896766,-73.966009
1/7/1986,-0.226333,-1.18298,1.204437,-100.831187
1/8/1986,-1.247767,0.573461,1.373237,155.316961
1/9/1986,-0.195635,-0.543145,0.577304,-109.808444
1/10/1986,0.375803,2.36945,2.399067,80.987761
1/11/1986,-0.703554,0.010278,0.703629,179.163039
1/12/1986,0.016891,0.5774,0.577647,88.324347
1/1/1987,0.667605,0.831219,1.066124,51.22983
1/2/1987,0.795745,-1.013668,1.288694,-51.867562
1/3/1987,0.319446,-0.863806,0.920981,-69.704977
1/4/1987,-0.073537,0.204745,0.21755,109.75655
1/5/1987,0.064665,1.332502,1.334071,87.221658
1/6/1987,-0.921163,0.188487,0.940249,168.435864
1/7/1987,-1.807745,0.039776,1.808183,178.739518
1/8/1987,1.274701,0.648775,1.430305,26.97437
1/9/1987,-1.420146,-0.21917,1.436959,-171.226786
1/10/1987,0.064313,1.587421,1.588723,87.679962
1/11/1987,1.579461,0.362777,1.620588,12.935585
1/12/1987,0.034609,-0.240647,0.243123,-81.816006
1/1/1988,-1.326059,0.934743,1.622398,144.819868
1/2/1988,0.871513,-0.726584,1.134663,-39.818115
1/3/1988,-0.309948,-1.989714,2.01371,-98.854103
